"-OR-","-TAI-"
"2-pixel perimeter around the header space.","2-pixelin reuna ylätunnisteen ympärillä."
"3D Secure","3D Varmistus"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D varmistus on pakollinen Maestro-korteille. American Express -kortit vaativat erillisen sopimuksen. Lue lisää osoitteesta <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Tarjoa asiakkaille PayPal -maksutapa!</a>"
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"API Authentication Methods","API tunnistustavat"
"API Certificate","API sertifikaatti"
"API Password","API salasana"
"API Signature","API allekirjoitus"
"API Username","API käyttäjätunnus"
"API Uses Proxy","API käyttää välityspalvelinta"
"Ability for buyer to purchase without PayPal account.","Mahdollisuus maksaa ilman PayPal-tiliä."
"Accept credit card and PayPal payments securely.","Luottokortti- ja PayPal-maksutapojen käyttäminen turvallisesti."
"Accept credit cards, debit cards and PayPal payments securely.","Luottokorttien, debit-korttien ja PayPal-maksutapojen käyttäminen turvallisesti."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Maksujen hyväksyntä ostoskorissa. PayPal käsittelee maksut Payflow Gateway -maksuyhteyden avulla."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Accept payments with a completely customizable checkout page.","Maksujen hyväksyminen täysin muokattavalla maksusivulla."
"Accept payments with a completely customizable checkout.","Maksujen hyväksyminen täysin muokattavalla maksusivulla."
"Acceptance Mark","Acceptance Mark"
"Acceptance Mark Image","Acceptance Mark Image"
"Account-to-Account Payment, initiated by PayPal","Tililtä tilille maksu, PayPal:in kehittämä"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Lisää PayPal maksutavaksi ja kasvata myyntiä."
"Add PayPal as an additional payment method to your checkout page.","Lisää PayPal maksutavaksi."
"Add another payment method to your existing solution or as a stand-alone option.","Lisää toinen maksutapa olemassaolevaan tai erillisenä valintana."
"Additional Options","Lisävaihtoehdot"
"Address","Osoite"
"Address Verification System Response","Osoitteen vahvistustoiminnon vastaus"
"Advanced Settings","Lisäasetukset"
"All the address information matched","Kaikki osoitetiedot täsmäävät."
"Allow in Billing Agreement Wizard","Allow in Billing Agreement Wizard"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Sallitut arvot: ""paypal"", ""primary"" (oletus), oma_muokattu_arvo (muokattu maksusivun tyyli PayPal-tilin profiilista)."
"Allowed Credit Card Types","Sallitut luottokorttityypit"
