"Appearance","Näkyvyys"
"Autohide after (in seconds)","Piilotetaan automaattisesti (sekunteina)"
"Autohide the notice?","Ilmoitus piiloitetaan"
"Bar","Palkki"
"Behaviour","Toiminta"
"Bottom","Alhaalla"
"Bottom Left","Alhaalla vasemmalla"
"Bottom Right","Alhaalla oikealla"
"Box","Laatikko"
"Enable close button?","Sulkemispainike"
"Enabled?","Käytössä"
"CMS page with details about cookies","CMS sivu jossa lisätietoa evästeistä "
"Close button text","Sulkemispainikkeen teksti"
"Container Class (Outer)","Container Class (Outer)"
"Content Class (Inner)","Content Class (Inner)"
"Cookie Details Page","Evästeen lisätietosivu"
"Cookie Lifetime (in days)","Evästeen elinaika (päivinä)"
"Cookie Law (EU / UK) Notice","Evästelaki ilmoitus (EU / UK)"
"Cookie Notice Settings","Evästelaki asetukset"
"Defaults to 31 (days).","Oletus 31 päivää"
"Do you wish to show the notice persistently until the visitor clicks the 'close' button? If this option is set to 'No', the notice will be shown on the first page the visitors land on and will not appear on the consecutive pages that they visit.","Näytetäänkö iloitus jatkuvasti kunnes asiakas painaa 'sulkemispainiketta'. Jos asetus on 'Ei', ilmoitus näytetään ainoastaan yhden kerran, ensimmäisellä sivulla jonka asiakas avaa."
"Friendly name for the link","Asiakkaalle näkyvä nimi linkille"
"If you set the notice to be persistent and disable to 'close' button, visitors will not be able to close the notice.","Jos ilmoitus asetetaan pysyväksi ja 'sulkemispainike' kytketään pois käytöstä, asiakas näkee ilmoituksen jatkuvasti."
"Message / Notice","Teksti"
"Notice type","Ilmoituksen muoto"
"Persistent Notice?","Jatkuvasti näkyvä ilmoitus"
"Position for Bar type notice","Palkkimuotoisen ilmoituksen sijainti"
"Position for Box type notice","Laatikkomuotoisen ilmoituksen sijainti"
"seconds","sekuntia"
"Setting autohide to 'Yes' will override the persistent notice setting.","Automaattisen piiloituksen asetus 'kyllä' ohittaa 'jatkuvasti näkyvän ilmoitus' asetuksen."
"Top","Ylhäällä"
"Top Bar - Body Padding - Closed","Top Bar - Body Padding - Closed"
"Top Bar - Body Padding - Visible","Top Bar - Body Padding - Visible"
"Top Left","Ylhäällä vasemmalla"
"Top Right","Ylhäällä oikealla"
"When Type = Bar and Position = Top, 'padding-top' value for 'body', in pixels.","Kun muoto = palkki ja sijainti = ylhäällä, väli ylhäältä pikseleinä."
"You can add custom classes (space separated).","You can add custom classes (space separated)."
