"3D Secure","3D Varmistus"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Sisäänkirjautumistunnus"
"Accepted Currency","Hyväksytty valuutta"
"Allow Partial Authorization","Salli osittainen vahvistus"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Oletko varma että haluat peruuttaa maksun? Paina OK peruuttaaksesi maksun ja pidossa olevan summan. Paina Keskeytä antaaksesi toisen luottokortin tiedot ja jatkaaksesi maksamista."
"Authorize Only","Varmenna pelkästään"
"Authorize and Capture","Varmenna ja vastaanota"
"Authorize.Net Transaction ID %s","Authorize.Net -maksutapahtuman tunniste %s"
"Authorize.net","Authorize.net"
"Cancel","Peruuta"
"Centinel API URL","Centinel-API URL-osoite"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortin varmistaminen"
"Credit Card: xxxx-%s","Luottokortti: xxxx-%s"
"Debug","Virheiden haku (debug)"
"Email Customer","Asiakkaan sähköposti"
"Enabled","Käytössä"
"Error in payment gateway.","Maksuyhteydessä tapahtui virhe."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Maksuyhteystapahtumat on lukittu koska maksuyhteyden kautta ei voida viimeistellä yhtä tai useampaa maksutapahtumaa. Kirjautu Authorize.Net tilillesi ja ratkaise ongelmat."
"Gateway error: %s","Maksuyhteysvirhe: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization.","Varmistuksen summa on virheellinen."
"Invalid amount for capture.","Invalid amount for capture."
"Invalid amount for partial authorization.","Osittaisessa varmistuksessa on virheellinen summa."
"Invalid amount for refund.","Hyvityksen summa on virheellinen."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Maximum Order Total","Enimmäistilaussumma"
"Merchant's Email","Kauppiaan sähköposti"
"Minimum Order Total","Vähimmäistilaussumma"
"New Order Status","Uusi tilauksen tila"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","Maksutoiminto"
"Payment authorization error.","Maksun varmentamisvirhe."
"Payment canceling error.","Maksun peruuttamisen virhe."
"Payment capturing error.","Payment capturing error."
"Payment from Applicable Countries","Maksu sallitaan käytettävissä olevista maista"
"Payment from Specific Countries","Maksu vain seuraavista maista"
"Payment partial authorization error.","Maksun osittaisen varmistamisen virhe."
"Payment refunding error.","Maksun hyvitysvirhe."
"Payment updating error.","Maksun päivitysvirhe"
"Payment voiding error.","Maksun mitätöintivirhe."
"Processed Amount","Käsitelty summa"
"Remaining Balance","Jäljelläoleva saldo"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Ostoskorin sisältö ja/tai osoite on muutettu."
"Sort Order","Järjestys"
"Test Mode","Testitila"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Käytettävissä oleva summa luottokortilla ei ollut riittävä ostokseen. Summa on nyt varattu tähän ostokseen. Ostaaksesi tuotteen paina OK ja anna toisen luottokortin numero. Peruuttaaksesi maksun ja vapauttaaksesi varatun summan paina Peruuta."
"There was an error canceling transactions. Please contact us or try again later.","Maksutapahtuman peruuttamisessa tapahtui virhe. Ota yhteyttä asiakaspalveluun tai yritä myöhemmin uudestaan."
"Title","Nimi"
"Transaction Key","Maksutapahtuman avain"
"You have reached the maximum number of credit card allowed to be used for the payment.","Suurin sallittu luottokorttien määrä on täynnä."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Suurin sallittu luottokorttien määrä yhteen tilaukseen on täynnä. Luottokorttien käytettävissä olleet varat eivät riittäneet ostoksen maksamiseen. Maksu on peruttu ja korteilta varatut summat on vapautettu."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Maksu on peruttu. Kaikki varmistetut summat on vapautettu."
"amount %s","summa %s"
"authorize","varmenna"
"authorize and capture","Varmenna ja vastaanota suoritus"
"capture","vastaanota"
"failed","epäonnistui"
"refund","hyvitys"
"successful","onnistui"
"void","mitätöi"
