"Actions","Toiminnot"
"Add Answer","Lisää vastaus"
"Add New Answer","Lisää uusi vastaus"
"Add New Poll","Lisää uusi kysely"
"Answer Title","Vastauksen nimi"
"Answer Title:","Vastauksen nimi:"
"Answer with the same title in this poll","Vastaa samalla otsikolla tässä kyselyssä"
"Are you sure you want to delete it?","Poistetaanko tämä?"
"Assigned Answers","Asetetut vastaukset"
"Closed","Suljettu"
"Community Poll","Kysely"
"Date Closed","Sulkemispäivä"
"Date Posted","Osallistumispäivä"
"Delete","Poista"
"Delete Answer","Poista vastaus"
"Delete Poll","Poista kysely"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Estä kyselyihin vastaaminen useamman kertaa samasta IP-osoitteesta"
"Edit Answer '%s'","Muokkaa vastausta '%s'"
"Edit Poll '%s'","Muokkaa kyselyä '%s'"
"Edit Poll Answer","Muokkaa kyselyn vastausta"
"ID","Tunniste"
"Invalid Answer.","Virheellinen vastaus."
"New Poll","Uusi kysely"
"Number of Responses","Vastausten määrä"
"Open","Avoin"
"Poll Answers","Kyselyn vastaukset"
"Poll Information","Kyselyn tiedot"
"Poll Manager","Kyselyt"
"Poll Question","Kyselyn kysymys"
"Poll information","Kyselyn tiedot"
"Poll with the same question","Kysely samalla kysymyksellä"
"Polls","Kyselyt"
"Save Answer","Tallenna vastaus"
"Save Poll","Tallenna kysely"
"Status","Tila"
"The answer has been saved.","Vastaus on tallennettu."
"The poll does not exist.","Kyselyä ei ole."
"Unable to find an answer to delete.","Poistettavaa vastausta ei löydy."
"Visible In","Näkyvillä"
"Vote","Äänestä"
"Votes Count","Vastausten määrä"
"Votes Count:","Vastausten määrä:"
