"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Huom!</strong> Captcha erottelee pienet ja isot kirjaimet."
"After number of attempts to login","Määrättyjen sisäänkirjautumisyritysten jälkeen"
"Always","Aina"
"CAPTCHA","CAPTCHA "
"CAPTCHA Timeout (minutes)","CAPTCHA aikakatkaisu (minuutteina)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Valittaessa CAPTCHA, se on aina käytössä ''''Uusi käyttäjä'''' ja ''''Salasana unohtunut'''' -lomakkeissa."
"Case Sensitive","Erottelee pienet ja isot kirjaimet"
"Displaying Mode","Näytetään"
"Enable CAPTCHA in Admin","Käytä CAPTCHA ylläpidossa"
"Enable CAPTCHA on Frontend","Ota käyttöön CAPTCHA kaupan puolella"
"Font","Fontti"
"Forms","Lomakkeet"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Arvolla 0, CAPTCHA on aina käytössä sisäänkirjauduttaessa."
"Incorrect CAPTCHA.","Varmentamiseen annetut merkit eivät täsmänneet."
"Number of Symbols","Merkkien määrä"
"Number of Unsuccessful Attempts to Login","Sallittu epäonnistuneiden sisäänkirjautumisten määrä"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Määritä enintään 8 merkkiä tai alue (esim. 3-5)."
"Please type the letters below","Kirjoita alla näkyvät merkit. Jos et saa selvää, paina kuvan vasemmalla puolen näkyvää painiketta"
"Please type the letters from the image:","Kirjoita kuvassa näkyvät merkit:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Käytä vain kirjaimia (a-z tai A-Z) tai numeroita (0-9) tässä kentässä. Välilyönnit tai muut merkit eivät ole sallittuja.<br/>Samalta näyttävät merkit (esim. ''''i'''', ''''l'''', ''''1'''') heikentävät asiakkaan sujuvaa vahvistamista."
"Reload captcha","Lataa captcha uudestaan"
"Symbols Used in CAPTCHA","CAPTCHA:ssa käytetyt symbolit"
