"The image below shows the available payment methods. You will be redirected to the Paytrail website when you place an order.","Allolev pilt näitab võimalikke makseviise. Teid suunatakse tellimuse vormistamisel Paytrail lehele."
"You will be redirected to the Paytrail website in a few seconds.","Teid suunatakse mõne hetke jooksul Paytrail lehele."
"Interface Language","Kasutajaliidese keel"
"The order was canceled, you have not been charged","Tellimus tühistati, teie kontot ei debiteeritud"
"New order email is sent","Uue tellimuse e-kiri on saadetud"
"New invoice email is sent","Uue arve e-kiri on saadetud"
"When customer is redirected to Paytrail","Kui klient suunatakse Paytrail lehele"
"When payment is successfully confirmed","Kui tasumine on õnnestunud"
"Never","Mitte kunagi"
"Interface language","Kasutajaliidese keel"
"Received Paytrail verification. %s payment method was used.","Tasumine Paytrail keskkonnas on kinnitatud. Kasutati %s makseviisi."
"Received Paytrail verification. Unknown payment method was used.","Tasumine Paytrail keskkonnas on kinnitatud. Kasutati tundmatu makseviisi."
"Paytrail verification failed","Paytrail keskkonnas tasumine ebaõnnestus"
"Merchant ID","Kaupmehe kood"
"Secure Key","Turvavõti"
"Finnish","Soome"
"Swedish","Rootsi"
"English","Inglise"
"Russian","Vene"
"Luottokunta payment method no longer used, use Visa (Nets) and Mastercard (Nets) instead.","Luottokunta makseviisi enam ei kasutata , kasutab Visa ( Nets ) ja Mastercard ( Nets ) asemel."
"Due to S-Pankki and LähiTapiola merger, the payment method can not be used after 26.10.2015","Tänu S - Pankki ja LähiTapiola ühinemise makseviisi ei saa kasutada pärast 2015/10/26"
"Send child products to Paytrail","Saada laps tooteid Paytrail"
"Normally parent product (e.g. bundle product) data is send to Paytrail. If you enable this the child product data is sent instead.","Tavaliselt vanem toote (näiteks Bunde Product) andmed saata Paytrail . Kui lubate selle lapse toodet andmed saadetakse asemel."
