"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Kortin varmistus"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","Epäonnistui"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Kauppiaan vastuu"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Tilausta ei voida tehdä."
"Payment information error. Please start over.","Maksutiedoissa on virhe. Yritä uudestaan."
"Please continue with placing order.","Jatka lähettämällä tilaus."
"Please verify the card with the issuer bank before placing the order.","Vahvista kortti pankin verkkopalvelussa ennen tilauksen lähettämistä."
"Please verify the card with the issuer bank:","Vahvista kortti pankin verkkopalvelussa:"
"Start/Reset Validation...","Aloita/Nollaa vahvistus..."
"Successful","Onnistui"
"Successful attempt","Onnistunut yritys"
"The card has failed verification with the issuer bank.","Kortin varmistus verkkopankissa epäonnistui."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Väärät maksutiedot tai varmistuksen aikaraja ylittyi. Yritä uudestaan."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Väärät maksutiedot tai varmistuksen aikaraja ylittyi. Yritä uudestaan."
"This card has failed validation and cannot be used.","Kortin varmistus epäonnistui ja sitä ei voida käyttää."
"To ensure the security of your transactions","To ensure the security of your transactions"
"Unable to complete","Pyyntöä ei voida suorittaa."
"Validation failed.","Vahvistaminen epäonnistui."
"Verification Failed","Varmistaminen epäonnistui."
"Verification Successful","Varmistaminen on onnistunut."
"Verification cannot be processed","Varmistamista ei voida suorittaa."
"Verified by Visa","Varmistanut Visa"
